brand,code,name,hex
Ariadna,1649,gray green ultra dark,#414d50
Ariadna,1636,steel grey dark,#41505d
Anchor,Anchor 779,Grey Blue Very Dark,#415268
Cosmo,120,120,#416e36
Cosmo,337,337,#418751
Ariadna,1700,parrot green very dark,#41b430
Madeira,714,Violet VY DK,#421335
Anchor,Anchor 112,Lavender Very Dark,#421f4e
Anchor,Anchor 380,Black Brown Medium Dark,#42220a
Cosmo,4311,4311,#422520
Anchor,Anchor 873,Antique Violet Dark,#422539
Anchor,Anchor 906,Hazelnut Brown Dark,#422c14
Cosmo,766,766,#422d47
DMC,3031,Mocha Brown very dark,#422e25
CXC,CXC 3031,Mocha Brown very dark,#422e25
Madeira,1614,Sage Green DK,#423d11
Finca,8756,Pewter Grey very dark,#424242
DMC,936,Avocado Green very dark,#424423
CXC,CXC 936,Avocado Green very dark,#424423
DMC,3362,Pine Green dark,#424a33
CXC,CXC 3362,Pine Green dark,#424a33
Madeira,1412,Forest Green DK,#425102
Ariadna,1707,khaki green very dark,#42521a
Anchor,Anchor 146,Navy Blue Light,#425580
DMC,3768,Grey Green dark,#425b61
CXC,CXC 3768,Grey Green dark,#425b61
Madeira,911,Delft DK,#42648a
DMC,987,Forest Green dark,#42663a
CXC,CXC 987,Forest Green dark,#42663a
Sullivans,Sullivans 45478,Celadon Green Medium,#426b57
Sullivans,Sullivans 45315,Electric Blue Medium,#42a4eb
Sullivans,Sullivans 45435,Lavender Ultra Dark,#432076
Sullivans,Sullivans 45348,Pine Green Dark,#434d32
Cosmo,634,634,#435e2e
Sullivans,Sullivans 45237,Beige Brown Dark,#44291f
Anchor,Anchor 845,Khaki Green Medium Dark,#443e24
Cosmo,718,718,#443e2b
DMC,163,Celadon Green medium,#44715b
CXC,CXC 163,Celadon Green medium,#44715b
DMC,3849,Teal Green light,#44918d
CXC,CXC 3849,Teal Green light,#44918d
Sullivans,Sullivans 45065,Violet,#45204f
DMC,838,Beige Brown very dark,#453029
CXC,CXC 838,Beige Brown very dark,#453029
Anchor,Anchor 1040,Beaver Grey Dark,#45423f
Cosmo,155,155,#45454b
Anchor,Anchor 258,Forest Green Very Dark,#454f01
Finca,3151,Antique Blue dark,#455c71
Sullivans,Sullivans 45436,Lavender Blue Dark,#455da8
Cosmo,319,319,#45754a
Cosmo,566,566,#457a88
Anchor,Anchor 1074,Jade Medium,#45a89a
Sullivans,Sullivans 45444,Bright Turquoise Light,#45c7eb
Ariadna,1733,hazelnut ultra dark,#461e0a
Ariadna,1794,chocolate,#46321e
DMC,3021,Brown Grey very dark,#46382e
CXC,CXC 3021,Brown Grey very dark,#46382e
Sullivans,Sullivans 45395,Brown Grey Dark,#464331
Finca,3324,Cornflower Blue very dark,#464563
DMC,3051,Green Grey dark,#464d2e
CXC,CXC 3051,Green Grey dark,#464d2e
Anchor,Anchor 137,Delft Medium Dark,#465380
DMC,937,Avocado Green medium,#465429
CXC,CXC 937,Avocado Green medium,#465429
Madeira,1707,Blue Grey Med,#465653
